name;mu;sigma;trueskill
coacAI;37,01208300442514;1,2057837814702337;33,39473166001444
models/model_2024-11-29_12-45-28_1580,pt;33,47693739965218;1,389948861472584;29,307090815234428
workerRushAI;32,177999126535994;1,0158657259647073;29,13040194864187
droplet;32,046013299709365;1,0151344815092278;29,000609855181683
mixedBot;31,485630788984253;1,0538188458547628;28,324174251419965
izanagi;30,251048792700562;1,048141521227313;27,10662422901862
tiamat;27,8300726697548;1,0437640107384225;24,69878063753953
lightRushAI;26,430335172946624;1,0158591694179326;23,382757664692825
rojo;25,174781972400247;1,0053993662036687;22,15858387378924
guidedRojoA3N;23,137975074471896;0,9950992581462096;20,152677300033268
naiveMCTSAI;20,932758765019557;0,9990214832647916;17,93569431522518
randomBiasedAI;16,41033348962392;1,1908998345256558;12,837633986046953
passiveAI;6,315587903310498;2,2292417057662304;-0,3721372139881929
randomAI;5,9383357094823985;2,1599970738074847;-0,5416555119400552


name;mu;sigma;trueskill
coacAI;37,01208300442514;1,2057837814702337;33,39473166001444
workerRushAI;32,177999126535994;1,0158657259647073;29,13040194864187
droplet;32,046013299709365;1,0151344815092278;29,000609855181683
mixedBot;31,485630788984253;1,0538188458547628;28,324174251419965
izanagi;30,251048792700562;1,048141521227313;27,10662422901862
models/model_2024-11-29_12-45-28_1580,pt;29,01032074928942;1,3913569773070849;24,836249817368167
tiamat;27,8300726697548;1,0437640107384225;24,69878063753953
lightRushAI;26,430335172946624;1,0158591694179326;23,382757664692825
rojo;25,174781972400247;1,0053993662036687;22,15858387378924
guidedRojoA3N;23,137975074471896;0,9950992581462096;20,152677300033268
naiveMCTSAI;20,932758765019557;0,9990214832647916;17,93569431522518
randomBiasedAI;16,41033348962392;1,1908998345256558;12,837633986046953
ppo_models/mixed_ppo,pt;15,636022799908664;1,3794690359139343;11,49761569216686
ppo_models/bots_ppo,pt;15,456077817810504;1,3859173787993;11,298325681412605
ppo_models/selfplay_ppo,pt;15,309537086100091;1,3707955610773008;11,19715040286819
passiveAI;6,315587903310498;2,2292417057662304;-0,3721372139881929
randomAI;5,9383357094823985;2,1599970738074847;-0,5416555119400552



name;mu;sigma;trueskill
coacAI;37,01208300442514;1,2057837814702337;33,39473166001444
workerRushAI;32,177999126535994;1,0158657259647073;29,13040194864187
droplet;32,046013299709365;1,0151344815092278;29,000609855181683
mixedBot;31,485630788984253;1,0538188458547628;28,324174251419965
izanagi;30,251048792700562;1,048141521227313;27,10662422901862
tiamat;27,8300726697548;1,0437640107384225;24,69878063753953
mcts_models/mixed,pt;28,514718311211816;1,3875945177397064;24,351934757992694
lightRushAI;26,430335172946624;1,0158591694179326;23,382757664692825
mcts_models/bots,pt;26,287940782845393;1,3535925838365612;22,22716303133571
rojo;25,174781972400247;1,0053993662036687;22,15858387378924
guidedRojoA3N;23,137975074471896;0,9950992581462096;20,152677300033268
naiveMCTSAI;20,932758765019557;0,9990214832647916;17,93569431522518
mcts_models/self_play,pt;18,589489299510518;1,3988826831025727;14,3928412502028
randomBiasedAI;16,41033348962392;1,1908998345256558;12,837633986046953
passiveAI;6,315587903310498;2,2292417057662304;-0,3721372139881929
randomAI;5,9383357094823985;2,1599970738074847;-0,5416555119400552
